Frequency (Hz)	Level (dB)
0.672913	-49.715015
1.345825	-53.159725
2.018738	-55.611469
2.691650	-59.214272
3.364563	-61.721561
4.037476	-66.543533
4.710388	-65.008713
5.383301	-63.622749
6.056213	-62.606617
6.729126	-63.539421
7.402039	-69.465256
8.074951	-70.699677
8.747864	-66.892548
9.420776	-64.355011
10.093689	-62.519352
10.766602	-62.745487
11.439514	-62.158684
12.112427	-61.718918
12.785339	-61.428101
13.458252	-60.615444
14.131165	-60.349201
14.804077	-60.196770
15.476990	-60.119278
16.149902	-60.676334
16.822815	-61.265240
17.495728	-61.458126
18.168640	-62.340710
18.841553	-63.155788
19.514465	-62.141895
20.187378	-61.239426
20.860291	-60.431427
21.533203	-59.776749
22.206116	-59.522137
22.879028	-58.124695
23.551941	-58.728062
24.224854	-58.748367
24.897766	-58.316082
25.570679	-58.860695
26.243591	-59.022472
26.916504	-58.611763
27.589417	-59.241367
28.262329	-59.632175
28.935242	-60.060059
29.608154	-61.455837
30.281067	-62.325974
30.953979	-62.769855
31.626892	-62.709579
32.299805	-62.574966
32.972717	-61.460896
33.645630	-60.696705
34.318542	-61.528358
34.991455	-61.550606
35.664368	-60.822453
36.337280	-61.491840
37.010193	-61.363358
37.683105	-58.133526
38.356018	-59.318726
39.028931	-62.021915
39.701843	-60.316574
40.374756	-63.166763
41.047668	-66.506439
41.720581	-68.051010
42.393494	-69.728714
43.066406	-70.970055
43.739319	-70.940636
44.412231	-70.407295
45.085144	-69.470947
45.758057	-67.542801
46.430969	-66.165611
47.103882	-64.577682
47.776794	-63.225471
48.449707	-62.209335
49.122620	-62.748478
49.795532	-63.287502
50.468445	-65.745224
51.141357	-65.476196
51.814270	-67.286987
52.487183	-72.292648
53.160095	-74.041420
53.833008	-73.922546
54.505920	-70.392921
55.178833	-71.041199
55.851746	-71.494659
56.524658	-70.005272
57.197571	-69.797050
57.870483	-68.011536
58.543396	-66.687202
59.216309	-66.794815
59.889221	-67.761063
60.562134	-72.944328
61.235046	-72.913582
61.907959	-70.648788
62.580872	-68.528687
63.253784	-68.508179
63.926697	-68.263412
64.599609	-66.616425
65.272522	-66.814049
65.945435	-66.485466
66.618347	-64.026917
67.291260	-62.439972
67.964172	-63.061291
68.637085	-64.756882
69.309998	-65.094749
69.982910	-62.199062
70.655823	-58.236420
71.328735	-56.045097
72.001648	-55.333004
72.674561	-55.057007
73.347473	-55.011024
74.020386	-55.378056
74.693298	-56.906284
75.366211	-57.599503
76.039124	-54.392551
76.712036	-51.885921
77.384949	-49.347443
78.057861	-45.196835
78.730774	-42.476555
79.403687	-42.038864
80.076599	-43.855648
80.749512	-48.101540
81.422424	-53.135391
82.095337	-53.676205
